message,language,urgency,category,translated_english
"My husband is beating me every day, I need help immediately","English","Critical","Domestic Violence","My husband is beating me every day, I need help immediately"
"I was harassed on the bus today by a group of men","English","High","Sexual Harassment","I was harassed on the bus today by a group of men"
"My neighbor is making threats to harm me","English","High","Threat/Intimidation","My neighbor is making threats to harm me"
"I am being forced into marriage by my family","English","High","Forced Marriage","I am being forced into marriage by my family"
"My boss is asking for sexual favors to keep my job","English","High","Workplace Harassment","My boss is asking for sexual favors to keep my job"
"I received threatening messages on my phone from an unknown number","English","Medium","Cybercrime/Stalking","I received threatening messages on my phone from an unknown number"
"My salary has not been paid for 3 months","English","Medium","Workplace Issue","My salary has not been paid for 3 months"
"Someone is spreading false rumors about me online","English","Medium","Cyberbullying","Someone is spreading false rumors about me online"
"I was denied maternity leave at my workplace","English","Medium","Workplace Rights","I was denied maternity leave at my workplace"
"Men in my area pass comments when I walk alone","English","Low","Street Harassment","Men in my area pass comments when I walk alone"
"I feel unsafe traveling at night in this locality","English","Low","Safety Concern","I feel unsafe traveling at night in this locality"
"My photos were shared without my consent on social media","English","High","Cybercrime","My photos were shared without my consent on social media"
"I am being blackmailed by my ex-partner","English","Critical","Blackmail/Extortion","I am being blackmailed by my ex-partner"
"My in-laws are torturing me for more dowry","English","Critical","Dowry Harassment","My in-laws are torturing me for more dowry"
"I was molested at a party last night","English","Critical","Sexual Assault","I was molested at a party last night"
"என் கணவர் தினமும் என்னை அடிக்கிறார், உதவி வேண்டும்","Tamil","Critical","Domestic Violence","My husband beats me every day, I need help"
"பேருந்தில் ஒரு கூட்டம் என்னை தொந்தரவு செய்தது","Tamil","High","Sexual Harassment","A group harassed me on the bus"
"என் அண்டை வீட்டுக்காரர் என்னை காயப்படுத்துவதாக மிரட்டுகிறார்","Tamil","High","Threat/Intimidation","My neighbor is threatening to hurt me"
"என் குடும்பம் என்னை வலுக்கட்டாயமாக திருமணம் செய்ய வற்புறுத்துகிறது","Tamil","High","Forced Marriage","My family is forcing me into marriage"
"என் மேலதிகாரி வேலை தக்கவைக்க பாலியல் உதவி கேட்கிறார்","Tamil","High","Workplace Harassment","My boss is asking for sexual favors to keep my job"
"தெரியாத எண்ணிலிருந்து மிரட்டல் செய்திகள் வருகின்றன","Tamil","Medium","Cybercrime/Stalking","Threatening messages are coming from an unknown number"
"மூன்று மாதமாக சம்பளம் வரவில்லை","Tamil","Medium","Workplace Issue","Salary not received for three months"
"யாரோ இணையத்தில் என்னைப் பற்றி பொய் பரப்புகிறார்கள்","Tamil","Medium","Cyberbullying","Someone is spreading lies about me online"
"பிரசவ விடுப்பு கொடுக்க மறுக்கிறார்கள்","Tamil","Medium","Workplace Rights","They are refusing to give maternity leave"
"தனியாக நடக்கும்போது ஆண்கள் கமென்ட் பண்றார்கள்","Tamil","Low","Street Harassment","Men comment when I walk alone"
"இரவில் தனியாக பயணிக்க பயமாக இருக்கிறது","Tamil","Low","Safety Concern","I am afraid to travel alone at night"
"என் புகைப்படங்கள் அனுமதி இல்லாமல் பகிரப்பட்டன","Tamil","High","Cybercrime","My photos were shared without my permission"
"என் முன்னாள் காதலன் என்னை மிரட்டுகிறான்","Tamil","Critical","Blackmail/Extortion","My ex-boyfriend is blackmailing me"
"மணவீட்டினர் மேலும் வரதட்சணைக்காக துன்புறுத்துகிறார்கள்","Tamil","Critical","Dowry Harassment","In-laws are torturing me for more dowry"
"நேற்று இரவு ஒரு விழாவில் என்னை தகாத முறையில் தொட்டார்கள்","Tamil","Critical","Sexual Assault","I was touched inappropriately at a party last night"
"मेरे पति मुझे रोज़ मारते हैं, मुझे तुरंत मदद चाहिए","Hindi","Critical","Domestic Violence","My husband beats me every day, I need help immediately"
"बस में आज एक भीड़ ने मुझे परेशान किया","Hindi","High","Sexual Harassment","A crowd harassed me on the bus today"
"मेरा पड़ोसी मुझे नुकसान पहुंचाने की धमकी दे रहा है","Hindi","High","Threat/Intimidation","My neighbor is threatening to harm me"
"मेरा परिवार मुझे जबरदस्ती शादी करवाना चाहता है","Hindi","High","Forced Marriage","My family is forcing me into marriage"
"मेरा बॉस नौकरी बचाने के लिए यौन संबंध मांग रहा है","Hindi","High","Workplace Harassment","My boss is asking for sexual favors to keep my job"
"अज्ञात नंबर से धमकी भरे संदेश आ रहे हैं","Hindi","Medium","Cybercrime/Stalking","Threatening messages are coming from an unknown number"
"3 महीने से वेतन नहीं मिला है","Hindi","Medium","Workplace Issue","Salary has not been received for 3 months"
"कोई इंटरनेट पर मेरे बारे में झूठ फैला रहा है","Hindi","Medium","Cyberbullying","Someone is spreading lies about me on the internet"
"मातृत्व अवकाश देने से मना किया जा रहा है","Hindi","Medium","Workplace Rights","They are refusing to give maternity leave"
"अकेले चलने पर पुरुष टिप्पणी करते हैं","Hindi","Low","Street Harassment","Men comment when I walk alone"
"रात में अकेले यात्रा करने में डर लगता है","Hindi","Low","Safety Concern","I am scared to travel alone at night"
"मेरी तस्वीरें बिना अनुमति के साझा की गई हैं","Hindi","High","Cybercrime","My photos were shared without permission"
"मेरा पूर्व प्रेमी मुझे ब्लैकमेल कर रहा है","Hindi","Critical","Blackmail/Extortion","My ex-boyfriend is blackmailing me"
"ससुराल वाले अधिक दहेज के लिए प्रताड़ित कर रहे हैं","Hindi","Critical","Dowry Harassment","In-laws are harassing for more dowry"
"कल रात एक पार्टी में मेरे साथ छेड़छाड़ की गई","Hindi","Critical","Sexual Assault","I was molested at a party last night"
"నా భర్త రోజూ నన్ను కొడుతున్నాడు, వెంటనే సహాయం కావాలి","Telugu","Critical","Domestic Violence","My husband beats me every day, I need immediate help"
"బస్సులో ఒక గుంపు నన్ను వేధించింది","Telugu","High","Sexual Harassment","A group harassed me on the bus"
"నా పొరుగువాడు నాకు హాని చేస్తానని బెదిరిస్తున్నాడు","Telugu","High","Threat/Intimidation","My neighbor is threatening to harm me"
"నా కుటుంబం నన్ను బలవంతంగా పెళ్లి చేయించాలనుకుంటుంది","Telugu","High","Forced Marriage","My family is forcing me into marriage"
"నా బాస్ ఉద్యోగం కాపాడుకోవడానికి శారీరక సంబంధం అడుగుతున్నాడు","Telugu","High","Workplace Harassment","My boss is asking for physical relationship to save my job"
"తెలియని నంబర్ నుండి బెదిరింపు సందేశాలు వస్తున్నాయి","Telugu","Medium","Cybercrime/Stalking","Threatening messages are coming from an unknown number"
"మూడు నెలల నుండి జీతం రాలేదు","Telugu","Medium","Workplace Issue","Salary has not come for three months"
"ఎవరో ఇంటర్నెట్‌లో నా గురించి అబద్ధాలు వ్యాప్తి చేస్తున్నారు","Telugu","Medium","Cyberbullying","Someone is spreading lies about me on the internet"
"మాతృత్వ సెలవు ఇవ్వడానికి నిరాకరిస్తున్నారు","Telugu","Medium","Workplace Rights","They are refusing to give maternity leave"
