message,language,urgency,category
"My husband is beating me every day, I need help immediately",English,Critical,Domestic Violence
"I was raped last night by a stranger",English,Critical,Sexual Assault
"My in-laws are torturing me for more dowry",English,Critical,Dowry Harassment
"I am being blackmailed by my ex-partner with my photos",English,Critical,Blackmail
"My husband tried to kill me last night",English,Critical,Domestic Violence
"I was molested at a party",English,Critical,Sexual Assault
"My husband poured hot water on me",English,Critical,Domestic Violence
"I am locked in the house and beaten daily",English,Critical,Domestic Violence
"Someone forced me into a car and assaulted me",English,Critical,Sexual Assault
"My father is forcing me into prostitution",English,Critical,Forced Labor
"My husband burns me with cigarettes",English,Critical,Domestic Violence
"I was gang raped while returning home",English,Critical,Sexual Assault
"My in-laws are trying to kill me for dowry",English,Critical,Dowry Harassment
"I am being held against my will at home",English,Critical,Domestic Violence
"My husband stabbed me with a knife",English,Critical,Domestic Violence
"Someone is threatening to kill me and my children",English,Critical,Threat
"I was drugged and assaulted at a party",English,Critical,Sexual Assault
"My husband is forcing me to have sex against my will",English,Critical,Domestic Violence
"My private videos are being shared online without consent",English,Critical,Cybercrime
"I am being forced into marriage with an old man",English,Critical,Forced Marriage
"My brother-in-law assaulted me when husband was away",English,Critical,Sexual Assault
"My husband breaks my bones when he beats me",English,Critical,Domestic Violence
"I was attacked with acid by a rejected man",English,Critical,Acid Attack
"My child is being threatened to force me to comply",English,Critical,Threat
"I escaped from a trafficking situation",English,Critical,Human Trafficking
"I was harassed on the bus today by a group of men",English,High,Sexual Harassment
"My neighbor is making threats to harm me",English,High,Threat
"My boss is asking for sexual favors to keep my job",English,High,Workplace Harassment
"My photos were shared without my consent on social media",English,High,Cybercrime
"I was stalked while coming home from work",English,High,Stalking
"My husband does not allow me to go out or meet anyone",English,High,Domestic Abuse
"I was fired after reporting harassment to HR",English,High,Workplace Retaliation
"Someone is following me everywhere I go",English,High,Stalking
"My account was hacked and private photos were leaked",English,High,Cybercrime
"My husband threatens to take away my children",English,High,Domestic Abuse
"My family is forcing me into marriage",English,High,Forced Marriage
"A man grabbed me inappropriately on the street",English,High,Sexual Harassment
"My husband destroys my belongings when angry",English,High,Domestic Abuse
"My manager touched me inappropriately at the office",English,High,Workplace Harassment
"Someone is sending me threatening emails daily",English,High,Cybercrime
"My husband controls all my money and documents",English,High,Domestic Abuse
"A colleague is spreading sexual rumors about me",English,High,Workplace Harassment
"My ex-boyfriend keeps showing up at my workplace",English,High,Stalking
"I feel unsafe in my own home",English,High,Domestic Fear
"My husband threatens to divorce and take the kids",English,High,Domestic Abuse
"A man is following me on my daily commute",English,High,Stalking
"My photos were morphed and shared online",English,High,Cybercrime
"My father-in-law is making inappropriate advances",English,High,Sexual Harassment
"My husband locked me in a room for two days",English,High,Domestic Abuse
"I received threatening messages on my phone",English,Medium,Cybercrime
"My salary has not been paid for 3 months",English,Medium,Workplace Issue
"Someone is spreading false rumors about me online",English,Medium,Cyberbullying
"I was denied maternity leave at my workplace",English,Medium,Workplace Rights
"No action is being taken on my previous complaint",English,Medium,Police Inaction
"I was discriminated against for being pregnant",English,Medium,Workplace Discrimination
"My husband takes away my earnings every month",English,Medium,Financial Abuse
"My in-laws insult me daily in front of everyone",English,Medium,Emotional Abuse
"My husband does not let me speak to my parents",English,Medium,Domestic Abuse
"I am being verbally abused at workplace",English,Medium,Workplace Harassment
"My husband spends all money on alcohol and gambling",English,Medium,Financial Abuse
"My colleague keeps making sexist jokes at me",English,Medium,Workplace Harassment
"My husband blames me for everything that goes wrong",English,Medium,Emotional Abuse
"I was asked to resign after maternity leave",English,Medium,Workplace Discrimination
"My landlord is harassing me for extra money",English,Medium,Harassment
"My husband reads all my messages and emails",English,Medium,Privacy Violation
